Rank,Title,Heat,Link
12.,冯绍峰接想想放学回家,34.1万,/l?e=3ee4cvtkwT1yXg8D7wdtXMoW2b0gr2yw6sN3KL1uH%2FUoC1bCwsAJ7kGxm%2BqSTLwTMshrN9o%2FVH09CzjBDe%2B3ITWVxMV4b7Tq%2Fahu%2B49E5beFqqGEVSAm4xxbMxkUjMmOAdh4L6B5VrkymkOtbzvS9ybeCjRSBYzJ%2BhiaZlBb7Bp209UrS6eAi9F2U21BNh2mRsmEfZm2B791pzWvvTca0fCOvIRNI%2BQ1CMX8RufhcJKWGNmtGJw9DPvOe2Epl79PYGg7UmqSIZolBDJ5l2dnTFjfMi5rj6T%2BkgcdSgSpvY2QuY39cN3VMwPO9uTJfUX6KQKV8RvtahEF
13.,猎捕野猪为什么这么难,34.0万,/l?e=f2e36OVKYJyGzrs3Eq3kalcyjyc2%2F8zzvlgdI6dN6MoXuBTGWZyM3V5edJJbZYPVUEGGt6ku8ljwERVShHde3uVu7OIqMxA6xQy9HUvfReFAPaoJXnojHRllE35UsAowlEgoxxLTbcy0940k6DOJUbFevRP9Re8lwShnH%2BNga6rTcqt6BJRUEQBVqWsGAyxwxsTpFhk81DfDAMtnk4ul38CLyuDc5Z46k1Ln87kIONxvGKcpcRlBQOhEcRbWyxEkiB%2FBdbfUo5ZBdWa4zHwzXbQArdOAcp1zUaOc9umtC6q1TMo1ZzpDiA3wpNCs%2F0oVi8dwo9PSiSm1
14.,巴黎世家售出8天后要顾客补1147元,33.7万,/l?e=9ad5Ml8bcueiwY1BecLoSMSIDdmgR7sBljgwZwCF7IAclArZ45jJy5kIbunMc3zFUR2DcQkYIo0nD4OqL0y%2FLv%2FiU8KsBTE6um%2ByhW7xwWsoR6nmXCe%2FDf175rCM5Xa8kZX%2FANJvj%2Bm75FZ9F1bBUtjKw2Yy4RuErzz5TC1Sc1g%2BRCCsi8jpEtJmNJeknfygDEC32vKFbTJW6lK0D%2FjhaQ3BW%2FS0CIv8Jjin6iZliKm9YKG%2FnPkD7DDFnCFkAa%2FoWr8vorxHwZcwJzVVxJI%2B9v8YgsSTxitHqGbCKSe3zPgnq0iWR860ypunjTzyNeClm8hSrcf2qYPEx2Lr6lzfhIgznv%2BLDtKXbYK%2FHOCERLhLbkjDmli1TtPF7SNrsmJevQeVoQChcnkk9fQ
15.,黄雅琼回应郑思维退出国际赛场,33.7万,/l?e=dba4JLWgLtxzTbAZnHP%2FYG7cPda%2F1qtj3eDcfVT2GWBrV4a6GabNpMnMLuoY3r56LwrWxzyrVxzL7Owh6fWvzeRpmXFTHbXwT8HvvDcwK7JKK8VAXl0ki47zm7QpeTKIezS7YPd3deA8oc%2FtbKoDaRVelAogGeU63ilQypvAYVZ2qHkr%2FRB50CTFfbmw3J4lMqP5igP6akMLP5pFi59NA%2FZ6CmEgYP6GimAA%2BqTmd%2BF8Py8fjr7%2FW93vxe1XKTr174HWr6g4eB00F43Sz0w4gjcq5ZhYLNIc%2B87VyRTS45CNnhF7PpXMlBFgbKUMM2J9ZAFfXmA90lBPPvn%2BoDsUqfVQo2MRbPsCnNKc7auu1s02K%2BwM90P25YuAhmNiropS3kg55GU5sgKP8J8c1OfZUTIqHwmp
16.,蛇年春晚标识有什么寓意,综艺 334408,/l?e=e3c0Jcmj4jWpemqRWm1Hc3vCN2k2T3jKSd2swAuW8BBb7tKBCtVN0vxO85coG6TIXQotW5xlA3FtIi%2FS5LvF8NMuCmIjTTwlM9K15ZbS65oR9MSDpN%2FKlEOBB66JE%2FWWa0GGpg5%2BFsS8bC1EKlh8hwm1dFex6ZB%2FBrYOUhZO0XPknf3orP9WsD4MynHKzvgsGIn%2BPnN2VNBEQ9hQhkuHEsOtuyP%2Bs5KneraYVYqYHTVOmw7TH%2FoDVnHtkpnvES0lb2apdBKpQGFn5%2FxcrjXRWhqxlQFIRtf5XwY4W%2B%2F8C8Ddm8vFebKiv0%2FzrImjXdH7%2B8TulMVuOohinIyFI8aa%2Bop0x8pv3xsC
17.,林一长沙活动取消,33.4万,/l?e=ce03loulzX%2F2%2BFWlgkmNdmKyxUp8u9%2FeOQs0KmM6S3Z2DB%2FfNt3AscpaCGWGuhx8iTjWJwUPIMqSFvwh0GbhvDjlqM%2F3LPiU0RHu9tIA9vqtuGARR8eZuz2siSY3CYRb3AsuRHg%2BOnblFn%2F5vUhEOE6%2BfQlmhvGWHaiw4T%2BKhmNCSSNZjxgXGUwDC4UB2q2KBnya5DaS%2Bv8%2FckKk0dKwXogxNGHQE6g0yqiZyE6tuJZD%2FKXF3JnP8qmKGcpMNGXCvfsnuSnMe0ZokHIMN9b1m8jbn7xeGLvZiz16
18.,人民网评白夜破晓,32.4万,/l?e=9a85bDVgZ0KdVjAlvt0of7dDl0ZSshK9oK%2BO64KsE9HrZzk0u7Gi8bu0cQUdoJuv4C7%2B8FR3oqw2PGxSAJ%2FqsXfTVX14eQkl7fHygbpvvIlaWmLPII4hz2Y7ROwpUyI2zGyPDDLfrN38wk%2B1Bz0cVaWndM1kKL5977T9UjHBcdEW8Egen8MdeiDeRdGZE2XCuY6IEgAg7Yyy52DQUzhdiFM0kZdcpm%2FAqNtC3hNAecvfGWePcaUigoEvvnkqKlYHKmgdDp%2BQifVr6Ct0bCNR8lKz9q2YPASta97c
19.,蛇年春晚官宣,晚会 321035,/l?e=32e4nSTJIWQ5AUjW84MGvPQqTTErGjJ0e4J091r74uFlxxiL5bEOJVhgFKdlcTCGcNWw4ZcThzWZQgGybNV4B8fkmijnrW%2FvQZ8koXJZW8excoFXYHdeS0%2BGIe3Uo%2BeAH2fWe4kISQVasjEiwoOHbQX4aPySwrJrlUGTdo%2BudA6W5flohB5Qf98q5JRMifMERKZbW4iIQ8j7CGM58jWpFwkQhBoKafmVi0KnbdWR8w%2BGWLgsYUX1kA8CMwMT
20.,辅警因为一次好奇9年后救了一条命,28.6万,/l?e=dec0Sj6db6DVTp46x%2BJCg8BmDLnm5qeeAb2lRxoK37GxAoPl0oAWGLN8BcI4pkhurv3PUNDX21yUlUzwiKkbKw3aEfo0yyEcviWyd7sSSUHPJy4a6%2F8T5sOZyJqARikGCIBriJ%2FdqlhHQYhegHdDBjTQgtPk2mLz%2BoujY4inc5B3jFCp9Dir01BnIbOMxeSCKQzEcZW9G4LNyap8%2ByaputFwkU3sQ5RkwK3yFdUFd6Y0gHMBZWq1MJmCt%2BmTL9XjyjQzIQtjWmClNNjg%2BzYjhKF0vaNNaQDdB7RoSmiR5w36CclbjU3FBocbkL3ldroNLY4gnIRG6lGxzSOpMgysGa4mVyJv%2BQJHENfZ3oFLQhhBrKho%2B9PX4BXhIW6p%2F4WZuMxTrB0gyGXFa7ntVgckeFXEtLhKDn3s072QthJMv%2BRum4QSPQ
21.,春晚官博回复檀健次春晚相关,晚会 253046,/l?e=78cdRmxiDrFKRkXe%2FNChD1ORpoDIpEc1IjU0GVJ%2F35oPadNfzKshKk9EnphwvSzxak0v3OKXwc9bMSSV%2BVyPBruDXgWZ6R26HrBjc3sOGkMDHPqDTzM9ouoT4hvaVvITwQzhvOzAU868gT%2Bl0xtJap2MK4jjIqf7nYsF8QJVXF0nqLxuQ24pKchKc8jQz73yXqHlhmeIVtlQwHLUS5FlPjeeSRncJnDYU4bHYZcLLd6eJavv3UgyfwIuGpyZ%2F0u6HPssyjQBcS2oI6KTyg3hV%2BxeVZPicTMqtcd1u89yhl4veZQBnRfs1YJmr2cmzfNftDE4Jos6EDrDfjSQc4P8VUbdMAbv65xdjk%2BsANslbXb8x4YNI5PIWHe3Bkm0fuhklNQos91D
22.,一降温就流感的体质怎么破,23.5万,/l?e=f3f2O0tYLln%2FqJz4XUP5yTSruiB%2BYYvZEjtKdwPJVQLfwmO%2BDUb69WIysrkAkeToIiTjrXEBvibQetSptjbz9zRFJ3NkRWHNUZd4FB3dFD1htYRUGDYHYGerXcJ3yFq2dOYJq2tuor0kcFkrmz%2F4V0qpKKUzlE1q%2B9PZMdY0IhZTln8TieJsaFwjhzjZi%2BJl6YuSr83Be1srYjdES7X%2BrT56NH2AnE617PAt09PE%2BKIZMmTQXe7vhGWOuT2cDNNlX9c4vf3jdnQQs3M63TC4bh80%2BMdrjQnSrw9r9zC79E42cUrnV25%2BXG5mN7mE2Yc%2BwvBE4rffvcw5x4h7DvbAvF3xM2hEvnlzIGkWLcsAM9p3bghGwBXr
23.,悬疑片的反转应该这么拍,23.3万,/l?e=34fa2D9LIL5BxiEf9tcWWdz1MR8os6qvCR8sXDl2XIBxBN62ZalMujpvrqgQOHCBg1uTQIXPnScptzb0A3IL74t4l3mjoU0h8YuJRcgJpWFOJfrrv6F9HQUp4NQ4MobqMcB34UW3CB%2FViwzgB0%2F4ComdhhBsMtbGrRAUi9H4vcvQulMJ8GOHc9XaCw5pt5ZJsPBrslHvBm771jDFW4EBfjDou%2FgQyQpRG6SJvbnnPhZEp%2BKWYfi6c6x2NXFp6Ssfm5a2IqT5u8WQp71upEQRc4NDRdHGi3QbiR29vUCVnFHrhGmXdA6mjwmRvfrmO6wC%2FK3St9LMdYbhwer42lIsFQz9DSCLlu9N
24.,王楠女儿落选国乒少年集训队,23.0万,/l?e=b990YdNKdCw6MYfjoUkXSdzhF5FSfYRsb3Q29n1wbB8%2FkkXX6xxhpyqpKoGCKGkWmm9uai9Qdstpc0uTbNlsxuABiBUAxok3cLvouUAE7e96dyS7RlgplpKBjb8oLA8cK6KnS2Rz6C3VlzAfHvZ2Fu2l6WhJlR84qDxKX24%2BkmwR9q2P65qJyQrLXK52UBa1BV%2Bzp9sYzbkMBxgp6TC%2BYNWs2%2FiI4hjDGYU%2FCtppyG%2FhcTKt%2BQJ%2BYENpgdYmbeFJ0bsY53NgHbMuZVzOiA9BbQQlGeBMEdF2UMZ03YGbUXQ2f2jgPTFjpvptN9aQ8hNE5p3fW%2FM1NGV8w6kfFp1Oi9vVasBgGYrDXuwZ%2Fo%2FaTvJ9T4TU1DMTC8M%2Fbvb4yn38d%2BuhDpOI
25.,王源头像P了个新帽子,22.2万,/l?e=b391HQ7S%2F6SI7CMywj5Zi%2Fk8aK1F9vq404N7fj2ZdLZ6dhxHj8Zdb3IiBgQr%2FOKpMbhtAKghhalW0L3sPPibP4gWLU3wdgqDAtL7Er0hxsfi2mVz4rcZYpLYBbqjs69Hc6jfxK3sbdrh2mCQy6qYTxEL04KYCzBvAWyv9yy2FPlPCBIyV1F4BZv9hE7W045VYhYRt2320zpVuRDM9EWEi3oSq3cbPr9mfMTK6xVW2o7RcZf%2FHQQMhTKRHfntNldN1fqDtuzw7CPN47KL04QXddZSjcrfWj4d9pBaTeZK8pd40JeNFDA4ApUMDQ
26.,丁禹兮看人深情是因为六百度近视,综艺 197393,/l?e=ee8f1JZR4REhkVmy9wuvdsxX9%2BER8uUz7knN3xDpq0K295ZDGvsPBvdjBtJ04Qk%2BLzlA%2BKy6rq8cJoRZil%2FC44im2uNixSCjKCkrKorC8YMHda8fUf8ptGJma9vep3x9zPCUi1e%2FlnwrNqB88uk8%2B63c5MJQl2cfMvEDX74BqtY7UEkW0z2FF96oltdeyz%2BveSPM0OZ6jqygL%2BQrHMjpjB2XMsdLQI%2BpQPOL2BkiZbhzQida8wn%2F2UG%2FxWwNEgTQP8EyiWrOQWNKM%2BCrcevJDVDOg3J0A2AnNqACwYA6IlcaIVP5a%2FHpzaX4gcvFJiPSXo8f%2BaFt%2B%2F%2BxJDhuFqPA0t3aYqCNWLPfUdOj20BKQ4utuLRhWNbWjHhs7gdG2DXUcqBncQ%2BPRMyhqjVvSA6FrUHinh1iZTvPFo4Pp%2FuefkAi6DcO
27.,年轻人买的水果半数是情感商品,18.7万,/l?e=26bbcD71Vcal4tHuW17OBXdgpoF7XACXZlmmZS0JT5882UfADjywLpq33AANrMgGPOYppHsPLJ9MHaREVC8G7hlP5ADMqV7ZlNlyy1%2FFwfp0y2JR20ajvQJ7fNT5CNgn9E99xlOb3tn16m0bRu7%2FBiEQDPWxh9boOut7GRhImFmjfyZ4ROwVF%2BK%2FGvTt6YWMqlfP7xW4NW7z82W4%2F4I2uypvHYin%2BGf2yMzb3clEx1Jv9Itcs7ybqkS9t35QYZoT5UoOqqShXnU2rv9JkIV8F%2Fum7tjyvfccLxpDQ9Gve7vrmZvhFxNdkCb0TsrAGAmy6MBT5EAHi3GGxNA0P813rvWzS64k4ueYT9NR%2FRM2gKNpt9wLMHgK0m2ZYyS15f3TFitgQmXPJE5oKQiQnH4ATlMnaN9b
28.,Baolan晒传奇杯四强队长合照,18.3万,/l?e=18edo%2Fuk0kfugMReWqPnS6uBnO8gMimONhv%2Fby2Zvlg7EYKC7N99UH3r1COnqSmQwfIpDuasvbGRMycbj3Gm9qnrM4L%2BTaLOKeD3sHy4KF9tRDxpbQ%2BIu7Z3q2zHch2gx%2FEAurRRIkAa9Tor18jI3%2Fe67tD5XahxS0weuzqllunOkALCGW5EybRDGG2v4Ci0hKSvycskaXGv59V1kgz0phadg1HqvufeER8yUttGBgjTm3KfUMlW5Alxlsi44Nrd%2FxYR%2BMXVvVYJhBY7HAobNn0ku1lGe1PbbZHLNAIXSLcaDwvFELYaZUcBWMw6f8hha08YN08Ql719IDfg9keW
29.,孙艺珍为2岁儿子庆生,18.3万,/l?e=79f8HXw3I1IGuz%2F%2Fre1bm1K5nWQmQI0bD7J2P%2Bk1bDi92MI5FrxWKFp1ejl2XrAcHiZmKKTn9XmKktescLzemuELZJzYSzn4nLZeqcInca1WQYHsHDc2ME0hNspHGUW036Py07cYkSlXRlivcqBa7yxv80BPmd%2FkTWe2CjxOQOPCqKHbZKoMJmuavHHVXSWB%2F9hbHfxWasN4csxpZNP5Aj4BoZajuwO4CQJ9mXwPGWXzOBRhigX7Ye%2B7tIUFWGDOSXn%2FV4%2FYJSkeAl0NU9bZHRcM%2B9cWlhUl%2FolB2wt0lFSim3ZeZ%2FvgoNn36w
30.,胖东来调改永辉超市25天改了啥,18.2万,/l?e=95eeFexHqtuXCQupN88uXkO6XE9LHfw5eiP3FGbMdKcSTTu1%2BMqo%2B6QqpRKFzmpLT9MJQpILsJlt28X8s5xkCsBQ9TPAoIJq29h5D%2BBHkHUN9zEUK1bmbicAZ6cObql2xNg3UG2n%2BYqQK9aAw1%2BGX3YecJ5NkwoTQZg4bVeFFHAlwjZXXM%2B1%2BKLv3aMyS%2BtPHvW9aa4Qfw973GCgMbxDjNfBMphcOfCglFMnESkTUAUwZnI0YRcd0QRmG03iBNh4j0qEgRbgP7nju96yp3tEF8sVsHBdHdn2GLrM9mfuaBQXn41K16Z%2Fha2cS3qMjrV4Cz2JFkoKXCjysNQhSqgU5BaH2zRlvKrCuyFj%2B0OF0%2FBiekped8%2FSJVaZYeRlvwB%2FmeTZqmFm%2F88
31.,官方公布冷藏车厢内8人窒息死亡详情,17.8万,/l?e=2944DkGEsWcFclpJbacZJpMgXacbk%2FJVIj3RthvOC0PY568oDS3mH8UaMO3keOrYC3QzOn3BlsJbolejfehCLL%2FsrVCkV03BekjTCTBwK6dgDH0eWaY3HTZi6kwK74bzLh7CRrB%2BWZyStPMDU7Ip4WJ4eAoT6SsS0P2e5tHJ4lvYyRqoorUJlM6h1%2BvHTkmAJyq0Jm1GTyqQ%2BohmKuF5gRPCzcszYR3vs3N2zaUK5UzlYLVJTwdCkccPbm7gA18OvOpqggtvS0gV5b9RZ1TqR0WkwML1Hzd01pU2RIVjoL7bsjqhd2THvowzX%2FEyw1f3CxM5TN4oCiwsO60VmPUAN2qabyHgDeAQ8fj9OeM1ItVRi0BtYDckcAU7y9M%2FZb9ZkXY0CbH%2BLONBJuW0wHROpulywbELRE4JO9sgg3v9VDhRJaFmSDJ1AWoRjS7ZtUa%2Fi5%2Fclw
32.,小鬼王琳凯风尚志十一月music刊封面,17.1万,/l?e=f8081aOQv4ht4kGr%2FBgPlDVqLxFvxQXf%2BFHDoDffu7qV7GkwvfPY34WETkC1FUwwqmUrHVM6KBpUynN4tMG2dB9IBjavIlHphXFsW%2FKpKjP%2FB18odH%2Frf%2Fp%2FWX1aBK%2BqrOc9D5fOERsyAFUTV5hBZ4AAStAnxRwJPNjrpkazEeMXXvJdpCtiEOBrqs0TZ%2BNRj197pjcq6kg08rO4LL%2Fq9znz5GIbiTyWhTpDny3Qq3T0AC%2FxNoHRox3%2FfvsWADDw8FkOtvaVPEa97Qw3koB8TLr0zs15vCLY%2BhsJL971B7Jd7NFTr7wLmvk%2FpRsa11HnL%2FumNiqh2MagATxMY2uYBYT3T3HWdGX0HbBlWeQiXK98gHh5OFkcZq0cxF7GMMufJ2VA8LcLJ2%2BoNjBDmreVdGnoqdZRspLeysQ
33.,儿媳控告公婆未经允许在客厅安监控,17.0万,/l?e=1b9doMXKIxziWnaGBFYUxdQj1cViJaQNUA%2Bq5e6decBWSJC4IrTXuEcMG%2BL3FCCYFvs9vj3h2mPMGvo49M7x4PDVKdrgoj%2B3dEpf9ZopRSYWxG%2Bo3mmwFvTtJfx1prpgWtRP3W14odjD86Qg1y5saY%2FTn11xmTnPAu9pDVdnx%2B8%2BadzVEOLduToySDLmF%2FmMVFkTj9Y08ify13L13fFQ9i3SgmbV1A0x8qxmfO1Cdx4HQU1vPQMWIHPVuTzjavzjzhoOOExBLQzEA9dVRAcnjseEnRz2f5bnjVuVxMflNf4TgI4pw7Jsyk0AmTL8alrZ0ICiqSf5mmJCr3ShI6oscqjyKJ1Q2aoIgOUS55b5Mnmoh%2FzeBnWRhIjkRlObQC5xamARqfJcvBmSrbnVko6o8laiJc1JOPUAOehYT58X5EmiVxfQkYy9I9lEeiVkLFbK7HdV
34.,中国游客在马尔代夫潜水遭鲨鱼咬头,17.0万,/l?e=a289mLEI%2FaRe8YuvTsucGx2gFDbW7I6Y5GUp8f1QQsJbTdrweMG8i6XY1OVuf0ZazI6hI%2BpegC08XSjVuXp9%2FCN%2Bw4LO3U0fwMflYj9jg5gIMhcNz%2B%2BrIrbKWk%2BBjVamwbqvFvQWsXEevGa60ydktcQ9xVDO8KRLGtYZdxTw6RDkFkkeLj1xPyPxZJKM8j2nguo2L4UQ49%2Bogkx0CuYR0XQj3qhJY5uiI8890udZfoHQUfgS1veD1i6IVU%2BIUb5h4sAe2BpIm04dPgy64aASzlYaFgntZwbFeqbl3MaOkNksy6Lnz0hWvoBz7pp4%2FZdZ3klt0ShpYky%2Fw%2BEo7ARUKXnE1%2F%2FgvWzy431SNU24NZs36V7qKHe4wNAC7WZnZfYWyLIAAuuNNGDmsTmOZaD6KJkN8hnRu5czkvPwIXSlBbDWbcxyu0%2F62Vv2LyQk0h%2BKMnUx
35.,珠海户籍居民可一周去一次澳门,17.0万,/l?e=deb5zzQrNWtqei2VqPD8nSjkH%2BsOYxC%2B5H%2B7C9urVXZNXAKa4YOcCYtKksxEi0%2B9dVkCxXa9xb7Gup3HXFzQ2QewzJeadUJYfhB%2BNnInaru5eEZFpwsgPWN6bXm7RxyMgaLiaheD26hc7bMqjZL9MgDIX28%2Brz78etV4KNkG%2Bpiknav1UxBH2zIkWg6ABIXiPFa5bfzZWbmFvNof9yXfskeMzm8%2BkVNdZZmG348L9IbC09rT3b88qYGtFgpBVq0kCR3CGFM2zyyk1jiuGmhCY%2FDiw17te2u3e8Lvf8CJnD6c73mfQHsBl5%2B2%2FDz1dvT%2FO5rWKzwDwnv6g3n%2BTrYiO5cl7mGGEYjU4Fs0pothb775ye%2FIihK%2F5gcgkH%2BUr5k895gO3HERYRxPIOWZlcr59xXB14XY
36.,金玟庭演唱玉氏夫人传OST,16.6万,/l?e=7f391vvm%2FtlMCPfXZeQb41AdYFOWWl3fhweChCra4v2MFm9djfxT7BJ8zRuIty7DbutQXshh2R5k3yp%2BE2O1trdEvJRt0b8MNLeoM8O%2FWdwPHVGVEati%2BqCMvq3K3h7IimmlhKlFgKrfnwuOi9yCfq0tfBPbNZrDBITmI1EnCl3cObQ9aVaE6OregnHvRMhya8hqu5qUk5uQsbWZSXgEtvAET2jdqRnTu6%2BvZuG7WclT2L3xfHygmisK1ckBs%2F%2FKr61q%2FHApRyGQA2MWu4hAFrrsn%2Fy%2FONXgtO0YWKnCZZJ5SsN37J%2FQJzHonadmHY3btI8SK6IRkpsDYjfX
37.,TES官宣Meiko离队,16.6万,/l?e=47afvOI2X%2F1WK8E%2FmSmr9TRQpYYTsp%2Bv%2BmyQV%2F6wIO6earhTlxUUBKb9PBAlUCIazNPM75y1t26jSFNXrEXyg6dJdD169h7VsZSTU1Jk%2FTBRotYWCrQZIh4HZ6vKbT76KpVxCYBMi5YbMLvUbTHVmM4brNsQo2bRaLht%2B34j3b8bCiZgZ%2BLWChrqgqW5zmpIepxJztI%2F1SPFIiVjUUFQeTr27BoejfI
